bodyparts,forehead,forehead,forehead,trunk_base,trunk_base,trunk_base,trunk_01,trunk_01,trunk_01,trunk_02,trunk_02,trunk_02,trunk_03,trunk_03,trunk_03,trunk_04,trunk_04,trunk_04,trunk_nose,trunk_nose,trunk_nose,right_eartop,right_eartop,right_eartop,right_earmid,right_earmid,right_earmid,right_earbtm,right_earbtm,right_earbtm,right_tusk_end,right_tusk_end,right_tusk_end,left_eartop,left_eartop,left_eartop,left_earmid,left_earmid,left_earmid,left_earbtm,left_earbtm,left_earbtm,left_tusk_end,left_tusk_end,left_tusk_end,upper_jaw,upper_jaw,upper_jaw,lower_jaw,lower_jaw,lower_jaw,right_eye,right_eye,right_eye,left_eye,left_eye,left_eye,back_base,back_base,back_base,back_end,back_end,back_end,back_middle,back_middle,back_middle,tail_base,tail_base,tail_base,tail_end,tail_end,tail_end,front_left_thai,front_left_thai,front_left_thai,front_left_knee,front_left_knee,front_left_knee,front_left_paw,front_left_paw,front_left_paw,front_right_thai,front_right_thai,front_right_thai,front_right_knee,front_right_knee,front_right_knee,front_right_paw,front_right_paw,front_right_paw,back_left_paw,back_left_paw,back_left_paw,back_left_thai,back_left_thai,back_left_thai,back_right_thai,back_right_thai,back_right_thai,back_left_knee,back_left_knee,back_left_knee,back_right_knee,back_right_knee,back_right_knee,back_right_paw,back_right_paw,back_right_paw,belly_bottom,belly_bottom,belly_bottom,body_middle_right,body_middle_right,body_middle_right,body_middle_left,body_middle_left,body_middle_left
coords,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z
69,,,,,,,,,,,,,,,,155.10677,-0.022601312,148.2342,,,,153.31883,1.3298129,142.36627,149.46533,-2.9517953,142.38043,,,,,,,,,,,,,144.23364,-4.4111633,140.50916,,,,152.99876,-2.880969,147.56786,,,,,,,,,,151.22202,-1.0113906,145.20403,144.39867,2.562988,139.2917,148.21922,-0.1353446,142.68646,144.39867,2.562988,139.2917,,,,146.11821,4.1580687,144.55705,151.91916,10.088888,148.80986,153.31459,12.85111,150.73897,,,,147.72672,11.166454,142.84946,144.95992,13.918006,138.96652,145.9053,15.366372,143.59927,144.27208,7.36671,142.1359,145.17863,7.7137623,139.11519,145.84077,13.115835,143.64449,144.02608,13.568313,139.38701,142.76515,15.769599,139.08261,148.79895,9.059278,144.44737,,,,,,
70,,,,,,,,,,,,,,,,155.2644,-0.02965511,148.38104,,,,153.33385,1.2193266,142.42775,149.89618,-2.8662813,142.77063,,,,154.52986,-0.21433087,149.19795,,,,,,,144.82593,-4.2451563,141.09305,,,,153.20416,-2.8671782,147.76578,155.02078,-0.15955228,149.29785,,,,,,,151.45616,-1.0329717,145.42935,144.57097,2.3103526,139.39,148.34631,-0.13181655,142.81435,144.57097,2.3103526,139.39,143.36012,12.28976,139.07759,146.25418,4.1579456,144.76147,152.13905,10.053641,149.37352,153.4538,12.740314,150.84738,,,,147.72813,11.135776,142.84778,144.94052,13.9177475,138.98808,145.92416,15.317787,143.58784,144.32927,7.356822,142.1925,145.29745,7.8305025,139.26117,145.80223,13.117313,143.60626,144.16434,13.563253,139.51736,142.83878,15.795354,139.15594,148.80096,9.11644,144.46416,,,,,,
71,,,,,,,,,,,,,,,,155.59145,0.038460333,148.73114,,,,153.43823,1.2864587,142.51381,150.34702,-2.8787646,143.21794,,,,154.83113,-0.26267216,149.48953,,,,,,,146.0869,-4.00059,142.33032,,,,153.73601,-2.744204,148.00494,155.1528,-0.054561332,149.41116,,,,,,,151.5134,-1.086133,145.48567,144.63396,2.4787438,139.50964,148.38806,-0.17694443,142.84433,144.63396,2.4787438,139.50964,143.50258,12.345965,138.82997,146.6867,4.1632032,145.11104,152.41116,10.027673,149.36429,153.71655,12.7074585,151.09964,,,,147.4382,11.088158,142.59694,144.67036,13.381938,140.72679,145.92706,15.289114,143.5845,144.52597,7.3331175,142.38368,145.79944,7.816441,139.77884,145.83342,12.882654,143.61464,144.49535,13.528016,139.59587,143.3507,15.776548,139.41974,148.85153,9.033186,144.51413,,,,,,
72,,,,154.28212,1.028043,149.37614,,,,,,,,,,155.66396,0.02713707,148.79137,,,,153.79247,1.2106229,142.84482,151.24548,-2.7666821,144.11362,,,,,,,,,,,,,146.4384,-3.9531646,142.67316,,,,153.79193,-2.718769,148.106,,,,,,,,,,151.8522,-1.1428456,145.88882,144.89224,2.469137,139.46379,148.57751,-0.17823762,142.82278,144.89224,2.469137,139.46379,143.39357,12.5714,138.868,147.71002,4.1715155,146.09784,152.44308,9.996952,149.39386,153.57935,12.629557,151.26848,,,,,,,145.00157,13.123441,141.38947,145.93477,15.328008,143.58948,144.51917,7.291788,142.37785,145.89645,7.809357,139.9122,145.91805,12.843397,143.68982,145.14835,12.863828,140.17784,143.64395,15.591204,139.36067,148.9142,8.997222,144.64478,,,,,,
73,,,,,,,,,,,,,,,,155.72075,-0.00091059116,148.83633,,,,153.90953,1.1763777,142.94594,151.38165,-2.7750914,144.30351,,,,154.95105,-0.31633037,149.59895,,,,,,,146.82526,-3.9821963,143.14131,,,,153.89117,-2.4420657,148.25743,155.9373,-0.01760581,150.17757,,,,,,,151.91455,-1.1788299,145.97781,145.21144,2.3641095,139.50233,148.70299,-0.018579105,143.0016,145.21144,2.3641095,139.50233,143.41705,12.645691,138.87663,148.4834,4.191532,146.32825,,,,,,,,,,147.20178,11.009425,143.50404,145.62273,12.890256,142.04065,145.93536,15.257893,143.6593,144.47461,7.2581077,142.42068,146.06557,7.7792773,140.13562,145.86931,12.795271,143.73051,145.6338,12.844398,140.64992,143.86588,15.540009,139.57889,149.06302,8.805032,144.78557,,,,,,
74,,,,,,,,,,,,,,,,155.99925,0.04938743,149.12506,,,,154.1289,1.1570803,143.17233,151.67229,-2.7187698,144.60754,,,,,,,,,,,,,147.19049,-3.8711812,143.52013,,,,153.99641,-2.4371874,148.35516,,,,,,,,,,151.91885,-1.1640248,145.97969,145.4535,2.0479374,139.65532,148.94229,-0.02540285,143.19441,145.4535,2.0479374,139.65532,143.46532,12.714707,138.91992,148.7066,4.233595,146.54117,,,,,,,,,,147.1899,10.999699,143.51794,146.60228,12.848214,143.02852,146.02676,15.289323,143.74527,144.66849,7.176663,142.62328,146.09814,7.641261,140.15733,145.85837,12.83524,143.75897,145.82056,12.797529,140.8622,144.0652,15.52825,139.77432,149.29489,8.806305,145.00356,,,,,,
75,,,,,,,,,,,,,,,,156.34038,0.0823847,148.83742,,,,125.47012,-5.6658883,116.3657,151.85359,-2.5989237,144.78525,,,,,,,,,,,,,147.23074,-3.843419,143.59628,,,,154.14865,-2.54458,148.50284,,,,,,,,,,151.98927,-1.0980633,146.04564,145.50877,1.8067724,139.71382,149.00511,0.037489258,143.25294,145.50877,1.8067724,139.71382,143.05621,12.066638,139.37376,149.04454,4.2309046,146.87454,,,,,,,,,,,,,146.65167,12.844259,143.08618,146.0571,15.168689,143.77313,144.68785,6.837551,142.68182,146.27354,7.5979285,140.32564,145.82161,13.087398,144.02762,145.92343,12.8194065,140.9643,144.0256,15.4561615,140.04936,149.35773,8.888643,145.0616,,,,,,
76,,,,,,,,,,,,,,,,156.82593,0.057285853,149.26678,,,,129.63644,-4.688144,120.36503,152.00804,-2.5625486,144.93591,,,,,,,,,,,,,147.94656,-3.7261233,144.2879,,,,154.22168,-2.5462234,148.5732,,,,,,,,,,152.28606,-1.1204824,146.32309,145.62321,1.7887149,139.83067,149.32668,-0.10258619,143.54698,145.62321,1.7887149,139.83067,143.2036,12.408969,139.51201,148.84286,4.2431674,147.30414,,,,,,,,,,147.2098,10.903369,143.54964,146.6533,12.830113,143.08427,145.96867,15.0740795,143.67877,144.70213,6.832651,142.69495,146.37148,7.5920844,140.42775,145.84094,13.07172,144.04317,146.04684,12.819356,141.09082,144.17433,15.428797,140.22267,149.38977,8.903917,145.0974,,,,,,
77,,,,155.04668,1.2084875,150.22246,,,,,,,,,,156.87328,0.022891488,149.33638,,,,143.46272,-1.510375,133.32866,152.00598,-2.5670278,144.93843,,,,,,,,,,,,,148.0485,-3.760262,144.35349,,,,154.46353,-2.8020742,148.7285,,,,,,,,,,152.2872,-1.1258881,146.32361,146.05872,1.7460077,140.25267,149.61961,-0.1289499,143.8294,146.05872,1.7460077,140.25267,143.41754,12.656507,139.72589,148.83084,4.2507205,147.31873,,,,,,,,,,147.26457,10.901543,143.6032,146.6532,12.808393,143.08441,145.96017,15.018952,143.6786,144.79121,6.8011765,142.78973,146.40572,7.147006,140.46199,145.84346,13.049696,144.04027,146.04057,12.835037,141.12132,144.71179,15.36786,140.74548,149.41064,8.896795,145.12146,,,,,,
78,,,,,,,,,,,,,,,,156.85458,-0.08938073,149.32217,,,,143.76796,-1.7705619,133.602,152.33902,-2.5328689,145.25557,,,,,,,,,,,,,148.77658,-3.6195977,145.0494,,,,154.49815,-2.8006563,148.75104,,,,,,,,,,152.41539,-1.1375175,146.44351,146.1359,1.955549,140.38713,149.6604,-0.13045405,143.83449,146.1359,1.955549,140.38713,143.4575,12.805518,139.80762,148.68295,4.730386,147.31375,,,,,,,,,,,,,,,,145.97824,15.011521,143.65768,144.82541,6.784167,142.77629,146.38222,7.300734,140.50629,146.00919,13.044053,143.89867,146.32713,12.804946,141.67764,145.08669,15.333161,141.11308,149.84624,8.854997,145.57034,,,,,,
79,,,,,,,,,,,,,,,,157.09105,-0.106633656,149.51619,,,,147.24992,-1.134364,136.84613,152.33545,-2.5937345,145.24992,,,,,,,,,,,,,148.72401,-3.6865811,144.99205,,,,154.85637,-2.5649743,149.17126,,,,,,,,,,152.47482,-1.1850648,146.49684,146.253,1.928807,140.50539,149.7736,-0.051470924,143.99007,146.253,1.928807,140.50539,143.34384,13.160378,140.04156,148.58957,4.736047,147.23059,,,,,,,,,,,,,,,,145.99428,14.915439,143.6391,145.22191,6.741802,143.1574,146.75285,7.284926,140.88509,146.11618,13.00612,143.9492,146.56834,12.88319,141.93466,145.37349,15.345768,141.39178,,,,,,,,,
80,,,,,,,,,,,,,,,,157.17096,-0.068074085,149.58968,,,,146.9558,-1.3116679,136.76343,152.89565,-2.5969548,145.78328,,,,,,,,,,,,,148.65881,-3.760476,144.89885,,,,155.09106,-2.5983016,149.39761,,,,,,,,,,89.65949,-21.339989,81.93835,146.26395,1.9279716,140.51588,150.04796,-0.11213583,144.25703,146.26395,1.9279716,140.51588,143.56604,13.178686,140.29459,147.9018,4.3643413,146.5372,,,,,,,,,,,,,,,,146.00185,14.925676,143.64034,145.4137,6.6914406,143.34727,146.73317,7.2826486,140.93896,,,,146.77982,12.949531,142.21559,145.62697,15.368393,141.63852,,,,,,,,,
81,,,,,,,,,,,,,,,,157.20247,-0.05253704,149.55887,,,,149.69495,-0.8526134,139.3634,153.22453,-2.6359243,146.04436,,,,,,,,,,,,,148.78078,-3.9489145,144.73444,,,,155.21114,-2.853812,149.40027,,,,,,,,,,110.452255,-14.425461,104.78491,146.50537,1.9075643,140.7792,150.20181,-0.12141492,144.36931,146.50537,1.9075643,140.7792,143.86385,13.166513,140.58817,147.89108,4.3638167,146.55006,,,,153.56407,12.692184,151.08752,,,,,,,,,,146.1714,14.927663,143.86104,145.45927,6.681466,143.44856,146.91199,7.273513,141.1109,,,,147.04115,12.961346,142.49731,145.90295,15.396404,141.93008,-16.73317,2.0303535,-15.870628,,,,,,
82,,,,,,,,,,,,,,,,157.38795,-0.07554699,149.73396,,,,149.95268,-0.933623,139.67516,153.47841,-2.6542926,146.28123,,,,,,,,,,,,,148.93753,-3.817269,145.17033,,,,155.40445,-2.6491654,149.64018,,,,,,,,,,123.82395,-10.336895,118.474846,146.55025,1.8922732,140.84537,150.30319,-0.13256268,144.4663,146.55025,1.8922732,140.84537,143.9932,13.208881,140.73203,147.94151,4.860544,146.48953,,,,153.51,12.692704,151.03415,,,,,,,,,,146.1658,14.949784,143.87318,145.45428,6.681238,143.45435,146.91098,7.194846,141.28001,,,,147.51518,12.943109,142.95937,147.4609,15.3685055,143.45479,-16.736717,2.031661,-15.870826,,,,,,
83,,,,,,,,,,,,,,,,157.48695,-0.066281185,149.94073,,,,150.91124,-0.9113938,140.57649,153.19687,-3.0183914,146.12697,,,,,,,,,,106.66331,-16.21567,103.75319,148.98737,-4.216091,145.20872,,,,155.5244,-2.6679263,149.86256,,,,,,,,,,131.98788,-7.7678084,126.70823,146.63164,1.8851665,140.9338,150.406,-0.0856976,144.38489,146.63164,1.8851665,140.9338,144.15579,13.42529,140.94029,148.59692,4.919299,147.14247,,,,153.47008,12.678345,151.07869,,,,,,,,,,146.15909,15.000937,143.89955,145.92532,6.6598144,143.97029,147.1459,7.200018,141.506,146.2639,12.758651,144.26921,148.3405,13.052466,143.8056,147.46915,15.4228525,143.51588,134.83995,7.2143216,131.20409,,,,,,
84,,,,,,,,,,,,,,,,157.61308,-0.06472139,150.05042,,,,151.82076,-0.8837419,141.48889,153.28119,-3.1379886,146.19875,,,,,,,,,,,,,149.73143,-4.274406,145.70477,,,,,,,,,,,,,,,,135.64017,-6.738126,130.29218,146.68456,1.8314459,140.9959,150.50557,-0.12063163,144.47198,146.68456,1.8314459,140.9959,144.2457,13.287876,141.01624,148.78525,4.9395113,147.3245,,,,153.57805,12.670898,151.14822,,,,,,,,,,145.7683,14.9777975,143.55563,145.99922,6.7054443,144.08572,147.58414,7.187431,141.7403,146.164,12.675367,144.1692,148.68176,13.131885,144.16046,147.53734,15.430867,143.59975,137.30914,7.3305283,133.6667,,,,,,
85,,,,,,,,,,,,,,,,158.00485,-0.09392929,150.12495,,,,151.82669,-0.8419341,141.50206,153.62129,-3.1283917,146.22845,,,,,,,,,,,,,149.72311,-4.215635,145.71486,,,,,,,,,,,,,,,,136.05103,-6.668311,130.41219,146.70732,1.8175265,141.04454,150.53815,-0.15548462,144.49261,146.70732,1.8175265,141.04454,144.72493,13.339693,141.5238,149.30597,4.9829497,147.87634,,,,,,,,,,,,,,,,145.69406,14.964363,143.65262,145.9754,6.7047563,144.22202,147.63219,7.1855206,141.76991,146.11378,12.728694,144.06831,149.07312,13.0181875,144.5016,148.6886,15.3815565,144.70663,139.73259,7.554897,136.06445,,,,,,
86,,,,157.22443,0.87613636,151.26738,,,,,,,,,,158.25206,-0.2094738,150.36356,,,,152.22266,-0.77427596,141.87767,153.78525,-3.018039,146.38382,,,,,,,,,,,,,150.25851,-4.009434,146.23729,,,,156.22595,-2.940125,150.13797,158.24289,-0.12629062,151.39917,,,,,,,138.38336,-6.062682,132.68364,146.87563,1.6683898,141.11743,150.65048,-0.17991987,144.60115,146.87563,1.6683898,141.11743,144.60808,13.312565,141.65584,149.60197,4.9988956,148.16943,153.37823,10.155096,151.03653,153.37457,12.655164,151.21178,,,,,,,149.4254,12.800732,145.15446,145.60712,14.817319,143.5851,146.00476,6.80806,144.31113,147.65364,7.2597933,141.80843,146.06015,12.734099,144.01437,149.28879,12.77135,144.72174,148.67944,15.184291,144.70592,140.2714,7.4370203,136.59158,,,,,,
87,,,,,,,,,,,,,,,,158.51833,-0.20439506,150.53773,,,,152.06525,-0.95531636,141.73189,153.8777,-2.8666995,146.47061,,,,,,,,,,,,,150.8046,-3.8166785,146.69464,,,,156.28856,-2.9376273,150.12056,,,,,,,,,,139.53404,-6.017336,133.72165,146.90363,1.8059293,141.17253,150.66957,-0.30003104,144.56915,146.90363,1.8059293,141.17253,144.65788,13.082933,141.72073,150.07033,5.1598325,148.76616,,,,153.38965,12.5689745,151.2019,,,,,,,,,,145.67912,14.781024,143.6587,146.0122,6.825061,144.31825,147.6672,7.208134,141.82193,145.9741,12.795566,143.92662,149.66595,12.701549,145.10243,149.31158,15.075669,145.32797,141.87737,7.4838643,138.15659,,,,,,
88,,,,,,,,,,,,,,,,158.52171,-0.20447846,150.54097,,,,152.42137,-0.9113792,142.06361,154.23102,-2.843226,146.80666,,,,,,,,,,141.0028,-4.928745,139.68765,151.13554,-3.833061,146.9974,,,,156.42613,-2.936392,150.25266,,,,,,,,,,139.53404,-6.017336,133.72165,146.8768,1.936697,141.38646,150.69699,-0.30248952,144.59554,146.8768,1.936697,141.38646,144.64702,13.024334,141.71393,150.29564,5.166554,149.01161,,,,153.38965,12.5689745,151.2019,149.87744,6.03489,145.23589,150.6207,10.46182,146.16782,,,,145.70224,14.780253,143.68169,146.07445,6.80398,144.38011,147.76404,7.1543107,141.82947,145.97711,12.812376,143.92874,150.09854,12.587469,145.45801,149.80731,14.551939,145.75641,142.30205,7.392813,138.53647,,,,,,
89,,,,,,,,,,,,,,,,158.67111,-0.26953655,150.5826,,,,152.43216,-0.972486,142.05527,154.51044,-2.890531,147.2488,,,,,,,,,,,,,151.17021,-3.829969,146.97723,,,,156.83205,-2.9307556,150.56458,,,,,,,,,,139.5766,-6.070512,133.67801,146.98361,2.0216517,141.48843,151.13301,-0.3970999,144.91965,146.98361,2.0216517,141.48843,144.75699,12.946139,141.77167,150.29442,5.106008,149.01703,,,,,,,,,,151.21686,10.414246,146.66061,,,,145.84212,14.675617,143.7683,146.1799,6.759445,144.41466,147.90552,7.139553,141.96379,146.03667,12.889265,143.89912,150.21355,12.442178,145.5732,149.95078,14.455446,145.89145,143.25642,7.385282,139.45126,,,,,,
90,,,,157.54156,0.99218273,152.18715,,,,,,,,,,158.74571,-0.27145332,150.65347,,,,152.80852,-0.90499955,142.6333,154.92455,-2.8704998,147.65158,,,,,,,,,,,,,151.19093,-3.9044418,146.9973,,,,156.9045,-2.9305737,150.63412,,,,,,,,,,141.45709,-5.44754,135.50539,147.03299,2.0236096,141.53596,151.20088,-0.3757319,144.98412,147.03299,2.0236096,141.53596,144.79968,12.944341,141.81384,150.34769,5.107526,149.06985,,,,153.577,12.522379,151.37689,,,,151.34334,10.501441,146.77762,151.15335,12.337829,146.7636,145.85776,14.675092,143.78384,146.26782,6.631123,144.45894,148.08174,7.1297503,142.13309,146.04951,12.960653,143.90804,94.86086,12.959216,91.49007,150.0713,14.38487,146.01114,144.03207,7.4229093,140.1724,,,,,,
91,,,,157.56215,0.9498709,152.21619,,,,,,,,,,158.77379,-0.2891691,150.67438,,,,153.1295,-0.7649684,142.95886,154.94942,-2.8436308,147.67583,,,,,,,,,,,,,151.93767,-3.8353486,147.71643,,,,156.96344,-2.9709396,150.6706,,,,,,,,,,141.45969,-5.466212,135.50264,147.10727,2.0273306,141.6137,151.24251,-0.3936279,145.01938,147.10727,2.0273306,141.6137,144.81834,12.977527,141.8588,150.53757,5.058785,149.25893,153.7163,10.46193,151.31181,153.75598,12.520666,151.52254,,,,151.64658,10.504653,147.07237,,,,145.86261,14.701779,143.7871,146.37613,6.604465,144.32178,148.31163,7.118662,142.34253,146.1069,13.052082,143.98463,120.66222,12.319886,116.81483,124.58408,15.18756,121.03471,145.33044,7.470837,141.43658,,,,,,
92,,,,157.93808,0.9283779,152.5767,,,,,,,,,,159.15866,-0.318983,151.0242,,,,153.2912,-0.7578312,143.15268,155.13515,-2.8404853,147.84285,,,,158.36446,-0.6572026,152.587,,,,,,,151.9554,-3.837777,147.73228,,,,157.34276,-2.9919932,151.07332,,,,,,,,,,141.44374,-5.4724264,135.51947,147.15514,2.0033906,141.65378,151.2425,-0.39591607,145.05518,147.15514,2.0033906,141.65378,144.88957,12.972501,141.96513,150.58817,5.0741973,149.31268,153.68793,10.506181,151.35124,153.74362,12.471021,151.51225,151.67154,6.0258975,146.92754,151.91566,10.516006,147.52136,152.32648,12.210757,148.57278,145.83566,14.731111,143.78465,146.3334,6.601371,144.21912,148.4061,7.0656643,142.39978,146.13228,13.052471,143.95514,123.532684,12.394217,119.638,135.31198,14.728006,131.57562,146.16832,7.552406,142.30078,,,,,,
93,,,,,,,,,,,,,,,,159.24518,-0.34179762,151.08574,,,,153.43057,-0.6933641,143.28427,155.17027,-2.7743545,147.90979,,,,158.4907,-0.6650276,152.74236,,,,,,,153.04361,-3.6156993,148.78185,,,,157.36424,-3.127115,151.12325,,,,,,,,,,145.6539,-4.379939,139.60767,147.16333,2.007976,141.65244,151.24231,-0.38569495,145.09502,147.16333,2.007976,141.65244,145.13931,12.867763,142.21971,151.13979,5.121989,149.86311,153.65523,10.506508,151.31895,153.785,12.322439,151.5569,151.74942,6.038335,147.04134,152.61072,10.61142,148.31792,153.00623,12.63797,149.38133,145.79184,14.73258,143.7411,146.33714,6.665369,144.20981,148.59764,7.19699,142.49313,146.14114,13.045993,143.9448,126.61213,12.311001,122.67102,135.34506,14.70453,131.54628,146.5109,7.7462797,142.62944,,,,,,
94,,,,,,,,,,,,,,,,159.52344,-0.33252195,151.2932,,,,153.60274,-0.6527926,143.54562,155.38214,-2.7384412,148.14706,,,,,,,,,,,,,153.80974,-3.43903,149.48743,,,,157.48517,-3.1311293,151.35596,,,,,,,,,,145.59877,-4.356889,139.66959,147.25471,1.7317127,141.70538,151.30159,-0.39009365,145.26572,147.25471,1.7317127,141.70538,145.40569,12.271283,142.51753,151.44585,5.134103,149.77528,153.60144,10.500839,151.38646,153.4624,11.657975,152.0355,152.00835,6.048224,147.40558,153.23277,10.6299715,148.93198,153.55927,12.651049,150.04,145.75677,14.8954735,143.71136,146.36102,6.7157993,144.19733,148.62161,7.087968,142.4899,146.18228,12.8229685,143.92775,135.11244,12.063552,131.04854,141.88484,14.213402,137.91376,146.67374,7.563805,142.90686,,,,,,
95,,,,,,,,,,,,,,,,159.64067,-0.43004617,151.39694,,,,153.79614,-0.5827738,143.78732,155.39026,-2.8295724,148.27583,,,,,,,,,,,,,153.94543,-3.4207294,149.60962,,,,,,,,,,,,,,,,146.27823,-4.176392,140.42795,147.36592,1.7184466,141.84328,151.60677,-0.41775358,145.56297,147.36592,1.7184466,141.84328,145.49521,12.26216,142.65382,151.47871,5.1426044,149.8077,153.52013,9.846793,151.25679,153.40785,11.623954,151.97273,152.30005,6.0684996,147.69125,153.35524,10.668496,149.05867,153.67055,12.619942,150.15028,145.74321,14.959591,143.74843,146.39583,6.8709836,144.20601,148.74197,7.274511,142.52367,146.22203,12.725776,143.92883,135.11084,12.063517,131.0501,141.93196,14.214274,137.86302,146.86337,7.772876,143.08504,,,,,,
96,,,,,,,,,,,,,,,,159.73792,-0.5069061,151.48387,,,,153.82387,-0.5528575,143.87256,155.74121,-3.09178,148.60367,,,,,,,,,,,,,154.01065,-3.4401937,149.6657,,,,,,,,,,,,,,,,146.76749,-3.8597777,141.13474,147.52876,1.8236358,141.85196,151.59525,-0.30989578,145.65285,147.52876,1.8236358,141.85196,145.6628,12.233621,142.6967,151.49832,5.212547,149.8299,153.54944,9.846535,151.28574,153.29828,11.625447,151.86377,152.60054,6.137917,147.9864,153.49055,10.671857,149.1904,154.1829,12.70836,150.64719,145.8073,14.854266,143.67426,146.71135,6.8739123,144.4188,148.77852,7.3165135,142.63696,146.29253,12.479663,143.89973,126.57063,12.263843,122.71352,141.86789,14.198678,137.89783,147.29602,7.807034,143.5062,,,,,,
97,,,,,,,,,,,,,,,,159.79927,-0.50883305,151.54211,,,,153.74391,-0.36946192,144.37004,155.76015,-3.0304983,148.6498,,,,,,,,,,,,,154.3606,-3.4307413,150.22789,,,,,,,,,,,,,,,,146.95029,-3.8026993,141.66528,147.51082,1.6106566,142.03398,151.84944,-0.39857078,145.88072,147.51082,1.6106566,142.03398,146.00436,11.698149,142.994,151.6228,5.2476497,150.21695,153.93658,9.843057,151.65504,153.31802,11.674006,151.84056,152.89629,6.1505866,148.27611,154.48051,10.645211,150.15068,155.35638,12.462073,151.73965,145.86725,14.847479,143.71236,146.81622,6.965639,144.50902,148.96922,7.351218,142.84666,146.3285,12.460613,143.92584,126.569046,12.263812,122.71489,139.90219,14.283613,135.98119,147.32227,7.697866,143.5047,,,,,,
98,,,,158.49521,0.58356214,153.24004,,,,,,,,,,159.86577,-0.42954725,151.63269,,,,153.73132,-0.32432586,144.45328,155.94319,-3.0499492,148.835,,,,,,,,,,,,,154.4575,-3.451513,150.32137,,,,,,,,,,,,,,,,147.695,-3.6383853,142.385,147.69562,1.5955904,142.21567,152.1198,-0.44551146,146.13351,147.69562,1.5955904,142.21567,145.94882,11.550529,143.16072,151.8684,5.267113,150.46443,153.99907,10.072981,151.7087,153.34702,11.75754,151.84775,153.3707,6.168462,148.73878,155.36688,10.891506,150.9346,155.60164,12.353804,151.64853,145.80591,14.56225,143.58054,146.91249,6.90314,144.60733,148.69722,7.3581376,143.16777,146.40059,12.247211,143.97104,128.8717,12.215162,124.96602,141.7543,14.176811,138.01688,148.06294,7.574942,144.18721,,,,,,
99,,,,,,,,,,,,,,,,160.15547,-0.49347815,151.82518,,,,153.87112,-0.31589794,144.6096,155.96968,-3.0546954,148.86032,,,,,,,,,,,,,154.58243,-3.5385783,150.44612,,,,,,,,,,,,,,,,148.3727,-3.5055861,143.03848,147.94583,1.4777814,142.45868,152.2307,-0.4563953,146.16841,147.94583,1.4777814,142.45868,146.0037,11.528206,143.22348,151.86243,5.266818,150.47205,154.11194,9.952777,151.79025,153.3506,11.77169,151.85066,153.50586,6.149501,148.87003,155.82857,10.877497,151.38023,155.6789,12.246542,151.72652,146.18773,14.549987,143.92456,146.91249,6.90314,144.60733,149.10542,7.354977,143.5993,146.45715,12.130576,144.03297,128.65219,12.145274,124.756004,141.5294,14.167738,137.79735,148.16476,7.5621557,144.28218,,,,,,
100,,,,,,,,,,,,,,,,160.43454,-0.47376356,152.10236,,,,153.75076,-0.3303247,144.88982,156.02823,-3.1099038,148.9156,,,,,,,,,,,,,154.61186,-3.5376773,150.47476,,,,,,,,,,,,,,,,148.67464,-3.5152357,143.36589,148.09116,1.4643447,142.62701,152.22281,-0.49212924,146.26625,148.09116,1.4643447,142.62701,146.02257,11.500531,143.2695,152.08406,5.291897,150.67747,154.01129,10.238255,151.74432,154.10884,12.1335,151.9425,153.50928,6.0249586,148.90924,156.61026,10.865058,152.1444,156.5588,12.180135,152.58913,146.28696,14.555563,143.84618,147.35405,6.875745,145.07307,149.14293,7.368579,143.65143,146.4772,12.092191,144.04456,136.22092,12.048837,132.16309,141.7543,14.176811,138.01688,148.23901,7.5446563,144.39026,,,,,,
101,,,,,,,,,,,,,,,,160.45018,-0.44493854,152.11633,,,,153.6373,-0.74074566,144.99684,156.22984,-3.0415766,149.12433,,,,,,,,,,,,,154.6901,-3.5346246,150.50713,,,,,,,,,,,,,,,,148.57555,-3.6145425,143.27176,148.13322,1.4099574,142.66261,152.21783,-0.5332922,146.26265,148.13322,1.4099574,142.66261,146.09306,11.250483,143.36227,152.1887,5.3291626,150.59511,154.13708,10.457945,151.86066,154.13843,12.191102,151.96906,153.9145,6.029842,149.30478,156.52995,10.368854,152.0782,157.23987,11.9664345,153.25755,146.29362,14.531195,143.84695,147.39177,6.9389143,145.10907,149.17575,7.394166,143.69473,146.5618,11.878087,144.1791,136.69884,12.038188,132.62305,142.33699,14.212824,138.42244,148.33856,7.5234904,144.49507,,,,,,
